Driver_Age,Vehicle_Value,Tax,Price,Vehicle_Mileage,Credit_Score,Licence_Length_Years,Date,Marital_Status,Sale
22,7000,29.76814207,595.3628414,6000,347.2867663,1.744881399,01/01/2015,S,1
19,7000,31.53188161,630.6376323,6000,405.7042632,0.296766424,01/01/2015,M,1
21,7000,28.42029563,568.4059126,7000,387.847639,2.702988905,01/01/2015,S,1
26,7000,20.8385092,416.770184,6000,496.640927,7.489256556,01/01/2015,S,1
18,6000,27.26165645,545.2331291,6000,360.7979066,0.294715599,01/01/2015,M,1
37,7000,25.44042166,508.8084332,7000,469.4308651,9.602682411,01/01/2015,D,1
34,6000,22.96055535,459.2111071,7000,480.357224,7.941043232,01/01/2015,S,1
30,6000,30.16370396,603.2740792,7000,291.1360162,8.669218071,01/01/2015,D,1
25,8000,24.33675523,486.7351047,7000,412.641693,3.332125573,01/01/2015,D,1
25,9000,38.58154129,771.6308258,7000,265.932641,2.720214948,01/01/2015,S,1
22,6000,28.61508375,572.301675,9000,374.114787,0.967657095,01/01/2015,M,1
32,6000,27.24985922,544.9971843,7000,430.5054618,5.554355154,01/01/2015,M,1
43,5000,27.94256486,558.8512972,7000,357.4713473,7.71897194,01/01/2015,S,1
38,5000,28.36349188,567.2698377,5000,389.3685601,8.386534477,01/01/2015,D,1
20,7000,24.65860912,493.1721823,9000,375.4131834,0.255087158,01/01/2015,S,1
30,7000,27.28568327,545.7136653,8000,294.0506332,6.549865267,01/01/2015,M,1
19,5000,33.50982111,670.1964222,6000,505.6477338,0.556308217,01/01/2015,S,1
32,8000,22.22597454,444.5194908,9000,317.4110217,6.15807196,01/01/2015,M,1
28,7000,31.689744,633.7948801,9000,347.1208871,5.109520931,01/01/2015,M,1
41,5000,34.08470178,681.6940355,5000,420.8911907,11.68593606,01/01/2015,M,1
23,8000,37.87603346,757.5206692,7000,458.4471787,3.156012114,01/01/2015,M,1
38,6000,33.29922646,665.9845293,6000,9999,5.187571102,01/01/2015,S,1
35,7000,18.32598113,366.5196226,7000,263.7291111,8.047255444,02/01/2015,M,0
24,7000,16.98242033,339.6484066,7000,582.6496098,5.308780258,02/01/2015,M,0
30,7000,25.0327827,500.655654,8000,308.7151807,7.744615297,02/01/2015,M,0
30,8000,23.39787932,467.9575865,9000,364.4482806,8.574524274,02/01/2015,S,0
38,6000,15.1629243,303.2584861,7000,380.25841,4.00518218,02/01/2015,M,0
33,6000,15.45038435,,7000,404.4767732,8.105118305,02/01/2015,S,0
46,8000,20.48355842,409.6711685,8000,344.6102573,8.899040928,02/01/2015,M,0
40,5000,18.90517177,378.1034353,6000,382.3302446,5.909519979,02/01/2015,,0
25,9000,21.88059797,437.6119595,7000,351.8641682,1.42670002,02/01/2015,M,0
26,7000,16.21049351,324.2098701,7000,308.3938023,6.104466613,02/01/2015,M,0
42,7000,24.40539009,488.1078018,7000,426.0577083,6.983228529,02/01/2015,M,0
36,7000,25.11851027,502.3702054,8000,299.1595053,10.62721836,02/01/2015,M,0
32,5000,21.96476814,439.2953628,8000,308.5507635,12.37265674,02/01/2015,M,0
25,8000,16.31724527,326.3449054,8000,353.0784012,6.548746762,02/01/2015,D,0
52,6000,21.69707109,433.9414218,9000,163.3365016,7.929564682,02/01/2015,D,0
21,6000,14.31832848,286.3665696,5000,428.5171075,1.583930366,02/01/2015,M,0
31,5000,16.28684048,325.7368095,5000,385.162314,10.31271791,02/01/2015,M,0
41,7000,17.08863203,341.7726406,6000,265.5746745,9.795586835,02/01/2015,S,0
26,7000,22.60024848,452.0049696,6000,443.833262,7.967516539,02/01/2015,M,0
18,7000,22.20445609,444.0891218,10000,277.1540041,0.858890966,02/01/2015,M,0
48,6000,15.92031143,318.4062286,8000,328.0197557,7.234022281,02/01/2015,M,0
32,9000,25.31547725,506.3095449,9000,335.0061528,12.48769388,02/01/2015,S,0
30,8000,25.73494812,514.6989625,7000,577.448939,9.749754391,02/01/2015,M,1
23,5000,23.71567617,474.3135234,7000,452.6802612,0.100275886,02/01/2015,S,1
34,5000,28.77008787,575.4017573,7000,400.5625232,7.213025103,02/01/2015,S,1
35,7000,19.22541184,384.5082369,6000,468.483971,7.340816318,02/01/2015,D,1
22,8000,31.77272669,635.4545339,5000,383.9229005,2.443673872,02/01/2015,S,1
20,5000,23.6397057,472.794114,7000,304.6187869,0.521458792,02/01/2015,M,1
18,7000,34.44382183,688.8764367,8000,355.1409651,0.826516672,02/01/2015,M,1
27,7000,36.64057495,732.8114989,5000,452.2270215,6.1585527,02/01/2015,M,1
22,7000,23.56452438,471.2904875,9000,345.7409843,1.836137176,02/01/2015,M,1
21,5000,33.08124007,661.6248013,9000,447.4448592,0.315269975,02/01/2015,S,1
33,5000,23.31667809,466.3335617,7000,586.5464917,7.080299523,02/01/2015,D,1
29,7000,31.66748208,633.3496415,,,4.384125989,02/01/2015,S,1
32,5000,28.21146826,564.2293652,8000,414.6477867,8.318190218,02/01/2015,M,1
23,7000,27.76582583,555.3165166,5000,435.4395251,0.430923765,02/01/2015,M,1
30,7000,14.71147417,294.2294834,5000,330.188035,11.43220419,02/01/2015,M,1
20,5000,24.89843318,497.9686635,9000,387.9903021,0.514583707,02/01/2015,M,1
35,9000,24.35739771,487.1479543,9000,299.4036266,11.35848692,02/01/2015,D,1
28,7000,33.82429698,676.4859396,9000,509.9064044,9.62535278,02/01/2015,S,1
29,6000,20.68343382,413.6686763,6000,387.7438096,6.559727521,02/01/2015,S,1
27,7000,24.10515235,482.1030469,8000,297.5392758,0.871014653,02/01/2015,M,1
26,7000,23.58288577,471.6577154,6000,359.1386328,5.832317078,02/01/2015,S,1
34,8000,26.75032987,535.0065974,6000,446.2357455,7.477753972,02/01/2015,M,1
20,9000,32.76328787,655.2657575,5000,339.4739255,0.995495885,02/01/2015,S,1
26,6000,24.87840562,497.5681123,9000,317.3459681,2.990415733,02/01/2015,M,1
,6000,19.28920636,385.7841272,8000,421.1379137,4.923920121,02/01/2015,S,1
32,6000,31.09046111,621.8092222,9000,472.8936452,7.722321505,02/01/2015,M,1
20,6000,34.53758826,690.7517653,8000,312.3913979,1.880592246,02/01/2015,S,1
27,5000,34.44132572,,6000,361.0848633,8.770086455,02/01/2015,M,1
29,7000,26.4191761,528.383522,7000,405.0304349,6.453873721,02/01/2015,S,1
32,7000,29.55807689,591.1615377,8000,441.5822117,8.324291211,02/01/2015,D,1
29,6000,36.3616162,727.2323239,7000,317.4060299,8.820402648,02/01/2015,S,1
36,7000,22.7867112,455.734224,8000,414.2742814,7.882076777,02/01/2015,M,1
24,6000,25.23828434,504.7656868,9000,455.2156945,5.340812228,02/01/2015,M,1
26,6000,,685.133198,8000,392.4896185,7.195612642,02/01/2015,M,1
26,6000,30.53424908,610.6849815,5000,413.5344229,3.653648406,02/01/2015,S,1
27,5000,29.71736269,594.3472537,8000,363.5619565,5.843146476,02/01/2015,M,1
35,7000,35.18422781,703.6845562,7000,488.0959314,8.502815133,02/01/2015,D,1
22,6000,23.05421446,461.0842892,6000,299.6983539,3.5173946,02/01/2015,S,1
39,5000,29.03555901,580.7111801,6000,384.4056506,5.721035899,02/01/2015,M,1
35,8000,27.49901654,549.9803308,8000,530.3250966,6.438520757,02/01/2015,M,1
34,7000,26.61467625,532.2935251,6000,517.7133685,6.704746896,02/01/2015,S,1
34,6000,28.32791269,566.5582538,5000,633.9389589,8.290852051,02/01/2015,S,1
27,7000,34.08023256,681.6046512,,400.8669312,7.627979994,02/01/2015,M,1
36,8000,24.28457922,485.6915845,7000,497.7969044,10.2095113,02/01/2015,S,1
24,4000,30.36539164,607.3078328,8000,429.3040925,5.532657797,02/01/2015,S,1
26,6000,33.77963027,675.5926053,7000,517.0448295,7.670956816,02/01/2015,M,1
25,6000,,668.5561556,7000,439.2914399,1.602137581,02/01/2015,M,1
33,9000,27.01469163,540.2938326,7000,390.9698815,10.04785381,02/01/2015,M,1
24,5000,26.08055239,521.6110478,6000,393.1962514,5.057429371,02/01/2015,M,1
38,6000,38.18899336,763.7798671,7000,351.5875091,10.65315999,02/01/2015,M,1
30,8000,22.44396904,448.8793807,7000,271.9785232,6.647683292,03/01/2015,M,0
47,8000,25.61021511,512.2043021,6000,254.3155606,11.84172511,03/01/2015,M,0
28,6000,19.84117205,396.823441,7000,435.626979,8.947248481,03/01/2015,S,0
31,4000,9.011059229,180.2211846,7000,433.8981127,8.144842496,03/01/2015,M,0
28,6000,15.45043098,309.0086195,7000,248.5698619,8.62176832,03/01/2015,M,0
36,7000,15.51090449,310.2180898,6000,340.5473992,4.73827053,03/01/2015,M,0
37,6000,16.25797705,325.1595409,8000,338.1118906,5.738319858,03/01/2015,M,0
22,7000,24.38680644,487.7361288,6000,465.6672933,1.347791038,03/01/2015,S,0
27,7000,18.08409199,361.6818398,8000,334.2573675,5.147874101,03/01/2015,S,0
29,9000,27.93780737,558.7561475,6000,529.3001553,8.347424068,03/01/2015,D,0
29,6000,21.00000459,420.0000919,4000,531.7050037,7.07288959,03/01/2015,S,0
28,6000,14.68954347,293.7908695,7000,331.4217855,6.715870457,03/01/2015,S,0
20,8000,30.85376615,617.0753231,7000,501.2213327,0.405771558,03/01/2015,M,0
23,8000,10.75622422,215.1244843,6000,347.681924,1.058184698,03/01/2015,S,0
20,6000,18.62845641,372.5691282,8000,456.8973796,1.166767364,03/01/2015,M,0
26,5000,20.61458597,412.2917193,8000,458.2794576,2.770712929,03/01/2015,S,0
39,6000,12.83946556,256.7893113,6000,398.3409892,9.436845271,03/01/2015,S,0
25,7000,20.24665311,404.9330622,6000,542.5903899,6.147066118,03/01/2015,M,0
26,6000,23.10347776,462.0695551,8000,411.7458759,5.489459655,03/01/2015,M,0
43,6000,17.59965888,351.9931776,8000,318.0910287,4.691699834,03/01/2015,M,0
42,,28.61401997,572.2803993,10000,479.3813235,6.288266792,03/01/2015,S,0
35,7000,13.56984794,271.3969589,8000,312.2128009,8.864777831,03/01/2015,S,0
31,8000,30.31939965,606.387993,5000,245.7996187,5.293287809,03/01/2015,S,1
33,7000,24.79803061,495.9606123,7000,424.1932209,9.27696222,03/01/2015,M,1
34,6000,32.7543274,655.086548,8000,304.5129125,5.694077971,03/01/2015,M,1
21,6000,31.78374032,635.6748064,8000,377.3506691,1.315350609,03/01/2015,M,1
28,5000,25.44223413,508.8446825,7000,389.2964649,6.104116911,03/01/2015,M,1
35,4000,26.79352933,535.8705866,7000,396.3200498,5.695258938,03/01/2015,M,1
27,9000,11.41036652,228.2073303,7000,334.7857309,5.984386928,03/01/2015,M,1
20,7000,30.38863696,607.7727393,5000,341.9244998,1.638506753,03/01/2015,S,1
34,8000,34.6789067,693.5781341,6000,428.1503932,11.06142393,03/01/2015,M,1
33,9000,30.21621238,604.3242475,6000,492.4355123,5.477180434,03/01/2015,M,1
36,6000,39.07903247,781.5806494,7000,410.4604002,8.569960624,03/01/2015,D,1
29,6000,27.73697848,554.7395696,8000,352.3094763,4.203577742,03/01/2015,M,1
34,6000,36.83511784,736.7023568,9000,514.117038,10.76409665,03/01/2015,S,1
37,6000,27.92354249,558.4708498,7000,398.9375578,10.30192118,03/01/2015,S,1
20,8000,21.66058548,433.2117096,8000,293.9417753,1.915786454,03/01/2015,M,1
26,7000,30.48053332,609.6106663,9000,311.4396111,5.250274412,03/01/2015,S,1
27,7000,27.56865355,551.3730709,7000,378.6204436,7.820936126,03/01/2015,S,1
30,8000,33.74078334,674.8156668,9000,485.6217111,8.585193256,03/01/2015,M,1
35,8000,35.08191583,701.6383165,6000,458.6434889,8.046705359,03/01/2015,M,1
18,7000,33.54367236,670.8734471,8000,232.4384348,0.77624196,03/01/2015,M,1
23,5000,34.74666425,694.9332849,6000,447.0968273,3.405069825,03/01/2015,M,1
37,8000,31.07384119,621.4768238,5000,523.700673,8.098192126,03/01/2015,M,1
28,5000,34.87912058,697.5824115,10000,371.171601,7.543993266,03/01/2015,S,1
36,7000,29.11429472,582.2858944,6000,482.7613319,7.994713933,03/01/2015,M,1
43,7000,30.65592419,613.1184838,6000,302.8171147,7.489592783,03/01/2015,M,1
22,7000,24.57547674,491.5095348,10000,294.4685078,0.343726703,03/01/2015,S,1
31,6000,21.00456377,420.0912754,6000,355.6591138,9.811134781,03/01/2015,S,1
29,7000,24.31120663,486.2241325,7000,506.7550703,5.219791249,03/01/2015,S,1
21,7000,22.08775315,441.755063,9000,,0.597288091,03/01/2015,S,1
19,6000,22.36224105,447.2448209,6000,474.6540702,0.500671566,03/01/2015,S,1
31,8000,24.72434834,494.4869668,7000,484.4986347,5.76184569,03/01/2015,S,1
29,7000,32.0853831,641.7076619,6000,303.8366601,6.051532559,03/01/2015,S,1
21,9000,21.22488469,424.4976938,5000,393.1411014,1.56571994,03/01/2015,S,1
23,5000,33.80679992,676.1359983,9000,367.9781833,2.853320997,03/01/2015,M,1
18,5000,24.24816506,484.9633012,6000,431.251853,0.835754184,03/01/2015,S,1
20,6000,32.03253627,640.6507254,8000,328.3410631,1.854432507,03/01/2015,M,1
24,8000,17.51195063,350.2390126,6000,410.5801166,5.885897784,03/01/2015,S,1
29,5000,34.17723103,683.5446207,8000,358.6979378,5.92237156,03/01/2015,S,1
26,9000,31.81285299,636.2570598,7000,475.4639274,7.725630641,03/01/2015,M,1
20,6000,28.69342118,573.8684237,5000,319.5774789,1.621615987,03/01/2015,M,1
30,7000,33.84659536,676.9319072,6000,322.790345,11.30044243,03/01/2015,M,1
36,7000,26.52213682,530.4427363,5000,322.7988049,10.19910512,03/01/2015,M,1
35,9000,28.54092882,570.8185764,6000,407.7189302,5.236790241,03/01/2015,S,1
35,6000,25.16299232,503.2598463,6000,404.3474378,5.247448134,03/01/2015,S,1
28,5000,31.33372712,626.6745425,7000,394.6122665,2.84528481,03/01/2015,M,1
26,5000,35.72930585,714.5861169,6000,360.1559381,7.525543059,03/01/2015,M,1
24,8000,29.07290662,581.4581324,5000,385.9798421,0.580189269,03/01/2015,M,1
26,6000,32.1128862,642.257724,7000,518.9845234,6.262101642,03/01/2015,S,1
26,7000,30.81357673,616.2715345,8000,399.7908921,5.799888587,03/01/2015,D,1
27,8000,26.93886725,538.777345,7000,365.9131238,8.073441777,03/01/2015,S,1
34,6000,33.37022505,667.404501,6000,492.4673095,9.271560018,03/01/2015,,1
30,8000,9.523432537,190.4686507,6000,354.6753062,7.806014882,03/01/2015,D,1
28,8000,25.66696172,513.3392345,7000,443.4876067,9.673870076,03/01/2015,S,1
18,6000,28.39077223,567.8154446,6000,251.1266792,0.295053254,03/01/2015,S,1
47,7000,18.79844874,375.9689747,7000,458.9071723,9.101926169,04/01/2015,M,0
20,5000,13.31803483,266.3606966,7000,369.4775569,0.834125287,04/01/2015,S,0
31,4000,15.57622561,311.5245122,8000,402.8115332,5.583763613,04/01/2015,D,0
26,6000,13.90727783,278.1455566,5000,437.3190459,7.281675406,04/01/2015,M,0
46,6000,28.13837774,562.7675548,7000,364.0534343,1.295706554,04/01/2015,S,0
49,7000,22.90735159,458.1470318,9000,521.8124146,4.399280537,04/01/2015,S,0
29,8000,26.52628839,530.5257678,7000,401.0967937,9.704699136,04/01/2015,S,0
65,7000,22.33207033,446.6414066,8000,452.6626371,5.65046235,04/01/2015,M,0
19,8000,22.83346455,456.669291,9000,491.9710658,0.293986612,04/01/2015,M,0
22,5000,12.80270876,256.0541752,6000,300.5467466,1.996339471,04/01/2015,D,0
38,9000,21.88792111,437.7584222,7000,312.8737986,10.001911,04/01/2015,D,0
39,7000,28.28058931,565.6117863,9000,396.3383885,9.293468148,04/01/2015,S,0
44,4000,22.90569032,458.1138064,10000,368.1471392,9.620058708,04/01/2015,S,0
51,7000,20.58230156,411.6460312,9000,387.0107538,10.37814112,04/01/2015,S,0
40,6000,17.10566365,342.113273,6000,259.3360319,10.16577166,04/01/2015,D,0
25,6000,18.46630748,369.3261496,6000,339.3118882,6.528013208,04/01/2015,M,0
45,7000,21.19324313,423.8648627,8000,380.2652715,10.5201522,04/01/2015,S,0
18,,19.03000791,380.6001581,7000,487.8515616,0.00686852,04/01/2015,S,1
25,7000,21.42908012,428.5816025,8000,307.5920753,6.508883491,04/01/2015,D,1
32,6000,32.16842848,643.3685697,9000,338.5548845,7.194873765,04/01/2015,D,1
36,8000,24.81271417,496.2542834,6000,9999,7.956156428,04/01/2015,S,1
28,7000,30.63454867,612.6909734,7000,272.1533398,6.567752027,04/01/2015,D,1
24,6000,31.4216142,628.4322839,7000,346.9875835,3.229083755,04/01/2015,S,1
25,8000,19.25519847,385.1039693,7000,440.8422342,4.852505533,04/01/2015,S,1
29,6000,34.45353958,689.0707916,7000,424.3753155,10.65767095,04/01/2015,M,1
33,8000,22.17597177,443.5194353,7000,294.8145907,8.205223611,04/01/2015,S,1
24,7000,28.03829448,,7000,366.9248195,1.716430109,04/01/2015,S,1
21,6000,33.18994017,663.7988035,8000,358.7981291,0.571920339,04/01/2015,M,1
43,6000,37.76035162,755.2070323,5000,204.8532923,5.623731542,04/01/2015,S,1
25,6000,21.21186613,424.2373225,9000,375.7485467,3.373505941,04/01/2015,D,1
36,7000,23.9423186,478.8463721,,372.9901124,8.165634732,04/01/2015,D,1
35,8000,17.93617798,358.7235595,6000,447.9500972,7.472458188,04/01/2015,S,1
18,6000,23.21554109,464.3108219,7000,395.3323809,0.844757167,04/01/2015,M,1
25,6000,28.58139524,571.6279049,9000,529.4893829,5.528568999,04/01/2015,S,1
27,7000,30.65824872,613.1649745,8000,369.8777453,8.270727838,04/01/2015,M,1
29,7000,33.18475818,663.6951636,6000,349.4952046,9.997684311,04/01/2015,M,1
25,6000,25.67705327,513.5410654,,,5.894489238,04/01/2015,M,1
33,7000,25.21341933,504.2683866,6000,366.2943346,5.586852906,04/01/2015,M,1
30,7000,28.02923675,560.5847351,5000,377.0211626,7.144709228,04/01/2015,S,1
33,8000,29.22015081,584.4030161,7000,398.05012,9.046905268,04/01/2015,M,1
28,6000,36.42980542,728.5961085,9000,457.3136142,6.924082768,04/01/2015,M,1
34,5000,38.24058794,764.8117587,8000,351.9843708,9.624247148,04/01/2015,S,1
25,7000,29.12996563,582.5993126,10000,383.1697761,6.438720302,04/01/2015,D,1
35,6000,31.79481471,635.8962941,7000,569.2821472,4.962808577,04/01/2015,S,1
30,7000,27.9626695,559.2533899,9000,439.7144039,9.560489189,04/01/2015,M,1
27,6000,38.20921043,764.1842085,7000,547.2538502,6.871105785,04/01/2015,,1
38,6000,35.34127541,706.8255082,6000,444.9470235,9.711385538,04/01/2015,M,1
26,8000,27.08983512,541.7967025,7000,246.2550164,7.887902805,04/01/2015,S,1
32,7000,28.94435012,578.8870023,8000,452.5690336,6.064601073,04/01/2015,S,1
27,7000,30.58187292,611.6374585,8000,416.3325431,4.107211194,04/01/2015,S,1
35,6000,27.96890868,559.3781736,5000,422.0719201,10.86821366,04/01/2015,M,1
30,6000,22.86317491,457.2634982,9000,382.5737629,8.793393257,04/01/2015,D,1
22,8000,23.92043344,,7000,,1.538170113,04/01/2015,M,1
20,8000,33.74712629,674.9425258,8000,9999,0.634614427,04/01/2015,D,1
33,6000,17.13914038,342.7828075,8000,445.3604636,9.384081649,05/01/2015,D,0
41,6000,17.74333856,354.8667713,8000,350.5942181,7.238891384,05/01/2015,M,0
18,7000,,429.9020502,7000,486.2286478,0.241172364,05/01/2015,M,0
43,7000,26.67239347,533.4478694,9000,423.3722925,9.33412525,05/01/2015,M,0
,5000,12.13154305,242.6308609,8000,391.3154171,7.924621173,05/01/2015,S,0
39,8000,23.13382888,462.6765776,6000,498.84103,9.206491007,05/01/2015,M,0
20,8000,22.33189874,446.6379749,9000,435.8554806,1.299206446,05/01/2015,S,0
34,6000,18.79205069,375.8410138,6000,289.8653107,8.692959051,05/01/2015,M,0
24,5000,10.01347467,200.2694934,8000,304.0038686,0.915147103,05/01/2015,S,0
32,6000,12.32840586,246.5681172,7000,429.1849569,11.44587541,05/01/2015,S,0
19,7000,24.50831748,490.1663496,7000,443.2874506,0.921831048,05/01/2015,M,0
40,7000,26.69377144,533.8754289,6000,287.8121717,7.247359303,05/01/2015,D,0
21,5000,17.00525628,340.1051255,6000,389.5791844,2.205330167,05/01/2015,M,0
24,5000,14.53052985,290.610597,7000,437.5868991,0.842625557,05/01/2015,M,0
33,9000,24.65693344,493.1386688,8000,361.5225893,9.251077223,05/01/2015,S,0
33,6000,17.94731394,358.9462789,4000,370.8518842,7.233786967,05/01/2015,S,0
39,8000,10.07731955,201.546391,5000,427.3912624,6.14561114,05/01/2015,M,0
30,4000,14.0164663,280.3293259,8000,531.0943473,10.06333936,05/01/2015,S,0
58,7000,16.01965111,320.3930223,6000,422.6437438,11.29673632,05/01/2015,M,0
35,6000,14.34703095,286.9406191,7000,437.207988,14.20589292,05/01/2015,M,0
26,6000,18.40495199,368.0990398,8000,392.1905315,6.388422556,05/01/2015,S,0
37,9000,17.41433752,348.2867504,6000,357.3153493,9.233622227,05/01/2015,S,0
43,6000,25.57626758,511.5253515,10000,442.4955056,5.316349195,05/01/2015,S,0
36,7000,20.79706164,415.9412327,5000,352.881875,6.364531627,05/01/2015,M,0
39,7000,10.73185343,214.6370686,5000,550.2256342,9.78877043,05/01/2015,S,0
36,8000,16.96825873,339.3651746,5000,360.0753957,7.470799189,05/01/2015,M,0
47,5000,14.86136831,297.2273662,6000,,10.39303921,05/01/2015,S,0
35,7000,24.47296307,489.4592613,8000,315.4244625,9.909701584,05/01/2015,D,0
27,7000,28.11573839,562.3147678,6000,343.3581128,4.968322272,05/01/2015,S,1
37,10000,25.47904564,509.5809129,4000,426.2086744,7.472751031,05/01/2015,M,1
20,9000,20.83039601,416.6079202,5000,382.908821,1.177337997,05/01/2015,M,1
31,6000,24.65571948,493.1143896,7000,422.3814008,8.385953503,05/01/2015,D,1
36,6000,24.72194557,494.4389114,7000,324.8974702,3.588789304,05/01/2015,M,1
18,6000,29.63047525,592.6095049,7000,306.8501377,0.220574389,05/01/2015,S,1
34,5000,27.02637183,540.5274366,6000,411.0539457,9.694250912,05/01/2015,M,1
27,8000,30.11459685,602.2919369,8000,329.2668871,3.14549719,05/01/2015,S,1
33,5000,36.92855863,738.5711726,8000,405.1986257,5.877371912,05/01/2015,S,1
33,5000,28.4563752,569.127504,4000,345.3829349,8.442739162,05/01/2015,M,1
20,4000,31.00739824,620.1479649,8000,394.5790279,0.225585864,05/01/2015,M,1
31,7000,27.93104273,558.6208545,7000,381.4173863,6.522026584,05/01/2015,S,1
28,7000,25.53374345,510.6748691,7000,428.3148499,4.096419871,05/01/2015,S,1
35,7000,21.72598914,434.5197828,5000,375.0629477,8.474157303,05/01/2015,M,1
36,5000,34.32236164,686.4472328,6000,507.7204074,9.138076522,05/01/2015,S,1
20,6000,22.27332344,445.4664689,7000,288.6405461,1.810443016,05/01/2015,M,1
28,7000,33.31198639,666.2397278,8000,537.8846194,7.130923925,05/01/2015,S,1
31,8000,31.82622913,636.5245826,8000,247.6470329,10.27387634,05/01/2015,M,1
29,6000,28.67624309,573.5248617,8000,486.6396139,9.507323465,05/01/2015,M,1
29,6000,24.41939263,488.3878525,9000,579.7437777,5.992032646,05/01/2015,S,1
23,7000,17.56524625,351.3049251,6000,438.2855107,1.933345352,05/01/2015,M,1
32,7000,28.58721135,571.744227,8000,397.4540943,4.193141921,05/01/2015,M,1
29,7000,23.44862423,468.9724845,8000,383.7784244,9.641856012,05/01/2015,M,1
30,9000,16.11849197,322.3698395,6000,277.4782927,10.01494902,05/01/2015,S,1
23,8000,28.87360803,577.4721606,7000,528.8640249,1.998372453,05/01/2015,S,1
31,5000,29.81986787,596.3973574,7000,378.0701504,7.63340427,05/01/2015,M,1
34,7000,27.85134895,557.026979,7000,472.6512673,6.238673764,05/01/2015,S,1
36,8000,25.64907204,512.9814408,7000,463.1854366,8.342896442,05/01/2015,M,1
36,9000,22.5700664,451.401328,8000,314.7061733,5.953582569,05/01/2015,M,1
40,4000,31.52504592,630.5009184,7000,449.2123775,7.28778415,05/01/2015,D,1
